3,58,-2,590,609,3,40,1
164,148,-2,272,273,3,42,2
208,3,-2,861,863,210,3,3
3,58,-2,549,555,162,3,4
3,130,-2,26,27,10,148,5
164,148,-2,592,596,3,42,6
158,3,-2,367,367,162,3,7
12,148,-2,606,619,3,42,8
158,3,-2,705,739,210,3,9
3,58,-2,805,870,210,3,10
12,148,-2,43,44,10,148,11
208,3,-2,315,317,3,42,12
158,3,-2,221,226,162,3,13
160,3,-2,856,883,10,148,14
12,148,-2,250,252,103,148,15
158,3,-2,363,370,162,3,16
158,3,-2,201,206,103,148,17
164,148,-2,506,506,210,3,18
158,3,-2,221,233,162,3,19
3,130,-2,26,26,10,148,20
3,58,-2,465,466,210,3,21
3,130,-2,26,30,10,148,22
158,3,-2,193,193,3,40,23
3,58,-2,1449,1573,210,3,24
3,130,-2,26,30,10,148,25
3,130,-2,423,427,3,42,26
208,3,-2,473,480,3,42,27
160,3,-2,1209,1308,210,3,28
164,148,-2,592,601,162,3,29
12,148,-2,800,809,210,3,30
3,58,-2,695,703,162,3,31
158,3,-2,312,317,10,148,32
208,3,-2,461,462,3,42,33
160,3,-2,258,260,162,148,34
3,58,-2,663,681,210,3,35
158,3,-2,299,302,3,128,36
164,148,-2,226,226,210,3,37
160,3,-2,369,370,162,3,38
3,130,-2,241,243,103,148,39
3,56,-2,33,34,3,42,40
12,148,-2,930,958,210,3,41
3,130,-2,26,29,10,148,42
160,3,-2,195,196,3,40,43
12,148,-2,398,399,210,3,44
3,130,-2,26,32,10,148,45
3,56,-2,467,472,210,3,46
164,148,-2,226,226,210,3,47
3,130,-2,26,33,10,148,48
3,130,-2,21,22,3,128,49
3,56,-2,33,39,3,42,50
3,58,-2,549,549,162,3,51
208,3,-2,461,468,3,42,52
158,3,-2,955,1015,210,3,53
208,3,-2,491,493,162,3,54
12,148,-2,43,43,10,148,55
158,3,-2,260,264,162,148,56
12,148,-2,132,133,3,42,57
3,56,-2,467,470,210,3,58
3,58,-2,363,363,162,3,59
158,3,-2,193,196,3,40,60
160,3,-2,683,685,210,3,61
208,3,-2,637,646,162,3,62
3,130,-2,26,29,10,148,63
3,58,-2,219,221,162,3,64
158,3,-2,195,201,3,40,65
3,58,-2,849,898,162,3,66
3,130,-2,34,45,10,148,67
160,3,-2,337,342,3,40,68
3,56,-2,256,256,162,148,69
3,58,-2,608,629,210,3,70
208,3,-2,384,385,10,148,71
158,3,-2,193,201,3,40,72
3,130,-2,311,318,162,3,73
3,130,-2,26,27,10,148,74
164,148,-2,226,229,210,3,75
208,3,-2,384,384,10,148,76
208,3,-2,703,710,3,42,77
3,130,-2,26,28,10,148,78
3,58,-2,288,290,10,148,79
158,3,-2,193,201,3,40,80
164,148,-2,226,227,210,3,81
208,3,-2,743,749,162,3,82
3,130,-2,26,27,10,148,83
12,148,-2,660,672,162,3,84
158,3,-2,389,392,103,148,85
3,56,-2,256,257,162,148,86
3,56,-2,273,276,3,40,87
3,56,-2,33,33,3,42,88
160,3,-2,369,372,162,3,89
3,130,-2,26,28,10,148,90
3,58,-2,429,430,3,128,91
158,3,-2,193,200,3,40,92
158,3,-2,367,379,162,3,93
160,3,-2,312,313,10,148,94
208,3,-2,551,562,3,40,95
3,130,-2,26,29,10,148,96
12,148,-2,312,317,162,3,97
158,3,-2,193,201,3,40,98
3,130,-2,26,30,10,148,99
158,3,-2,193,201,3,40,100
3,130,-2,26,30,10,148,101
158,3,-2,395,398,3,40,102
164,148,-2,226,229,210,3,103
160,3,-2,400,406,162,148,104
3,56,-2,1275,1405,162,3,105
3,58,-2,646,653,162,148,106
3,56,-2,467,472,210,3,107
160,3,-2,258,262,162,148,108
158,3,-2,193,199,3,40,109
158,3,-2,659,686,210,3,110
3,56,-2,213,214,162,3,111
158,3,-2,312,321,10,148,112
12,148,-2,30,30,3,128,113
158,3,-2,195,197,3,40,114
208,3,-2,315,323,3,42,115
3,58,-2,751,796,210,3,116
164,148,-2,226,226,210,3,117
160,3,-2,312,318,10,148,118
3,58,-2,195,196,103,148,119
208,3,-2,306,307,162,148,120
158,3,-2,299,303,3,128,121
208,3,-2,371,371,3,128,122
158,3,-2,193,194,3,40,123
3,58,-2,965,1018,3,42,124
164,148,-2,226,228,210,3,125
3,58,-2,195,196,103,148,126
208,3,-2,461,461,3,42,127
160,3,-2,659,664,210,3,128
