158,3,-2,192,192,3,40,1
208,3,-2,839,841,210,3,2
3,130,-2,26,28,10,148,3
3,130,-2,26,28,10,148,4
208,3,-2,423,423,3,40,5
3,130,-2,26,28,10,148,6
12,148,-2,520,522,210,3,7
3,58,-2,288,288,10,148,8
12,148,-2,30,35,3,128,9
3,56,-2,213,213,162,3,10
3,58,-2,497,498,3,128,11
208,3,-2,591,592,103,148,12
208,3,-2,653,657,162,3,13
12,148,-2,187,187,162,148,14
3,58,-2,527,527,3,42,15
164,148,-2,226,227,210,3,16
160,3,-2,299,300,3,128,17
12,148,-2,128,128,103,148,18
158,3,-2,195,195,3,40,19
164,148,-2,226,230,210,3,20
12,148,-2,312,312,162,3,21
208,3,-2,1145,1147,3,40,22
158,3,-2,1603,1608,210,3,23
158,3,-2,1177,1177,162,3,24
3,130,-2,26,27,10,148,25
158,3,-2,312,313,10,148,26
3,130,-2,26,27,10,148,27
158,3,-2,312,315,10,148,28
3,130,-2,300,304,162,148,29
158,3,-2,221,223,162,3,30
158,3,-2,387,389,103,148,31
158,3,-2,193,198,3,40,32
12,148,-2,312,312,162,3,33
208,3,-2,315,316,3,42,34
160,3,-2,465,467,210,3,35
3,58,-2,652,654,10,148,36
158,3,-2,339,339,3,40,37
208,3,-2,305,305,162,3,38
160,3,-2,465,469,210,3,39
158,3,-2,367,367,162,3,40
3,58,-2,337,337,3,40,41
3,58,-2,465,465,210,3,42
3,56,-2,33,33,3,42,43
208,3,-2,451,452,162,3,44
164,148,-2,226,227,210,3,45
208,3,-2,384,386,10,148,46
160,3,-2,195,207,3,40,47
160,3,-2,565,566,162,3,48
208,3,-2,305,305,162,3,49
160,3,-2,195,210,3,40,50
12,148,-2,398,398,210,3,51
3,58,-2,219,219,162,3,52
12,148,-2,128,128,103,148,53
3,130,-2,26,26,10,148,54
158,3,-2,405,406,103,148,55
158,3,-2,797,798,210,3,56
208,3,-2,473,473,3,42,57
208,3,-2,513,517,210,3,58
3,58,-2,1042,1042,162,148,59
158,3,-2,193,200,3,40,60
3,130,-2,26,26,10,148,61
208,3,-2,306,309,162,148,62
164,148,-2,226,226,210,3,63
3,130,-2,26,26,10,148,64
12,148,-2,128,129,103,148,65
208,3,-2,693,693,210,3,66
3,130,-2,26,26,10,148,67
208,3,-2,551,551,103,148,68
208,3,-2,451,454,162,3,69
208,3,-2,306,307,162,148,70
160,3,-2,465,465,210,3,71
164,148,-2,272,272,3,42,72
3,58,-2,275,277,3,128,73
164,148,-2,506,510,210,3,74
208,3,-2,2739,2739,210,3,75
3,58,-2,438,438,10,148,76
164,148,-2,324,326,3,128,77
164,148,-2,226,226,210,3,78
3,130,-2,537,537,162,3,79
158,3,-2,560,560,162,148,80
208,3,-2,697,703,3,40,81
208,3,-2,861,862,210,3,82
208,3,-2,653,653,162,3,83
208,3,-2,637,637,162,3,84
3,58,-2,987,989,210,3,85
3,58,-2,219,219,162,3,86
158,3,-2,959,959,210,3,87
12,148,-2,312,313,162,3,88
12,148,-2,187,188,162,148,89
3,130,-2,389,389,210,3,90
3,130,-2,26,26,10,148,91
208,3,-2,542,542,162,148,92
12,148,-2,132,132,3,42,93
164,148,-2,506,508,210,3,94
160,3,-2,511,518,3,42,95
208,3,-2,491,491,162,3,96
158,3,-2,391,392,3,42,97
160,3,-2,465,467,210,3,98
3,58,-2,511,519,3,42,99
158,3,-2,367,367,162,3,100
3,58,-2,465,467,210,3,101
3,130,-2,26,27,10,148,102
3,130,-2,119,121,103,148,103
208,3,-2,1073,1073,162,3,104
158,3,-2,193,193,3,40,105
164,148,-2,2102,2105,3,42,106
164,148,-2,226,226,210,3,107
158,3,-2,513,517,162,3,108
3,58,-2,456,459,162,148,109
158,3,-2,751,753,3,42,110
158,3,-2,221,221,162,3,111
3,130,-2,26,26,10,148,112
3,58,-2,607,607,210,3,113
160,3,-2,195,198,3,40,114
3,58,-2,621,623,3,40,115
164,148,-2,226,227,210,3,116
160,3,-2,219,221,162,3,117
3,130,-2,26,26,10,148,118
12,148,-2,132,133,3,42,119
12,148,-2,520,520,210,3,120
164,148,-2,299,299,162,148,121
164,148,-2,226,228,210,3,122
158,3,-2,363,367,162,3,123
208,3,-2,315,319,3,42,124
12,148,-2,312,313,162,3,125
3,130,-2,26,29,10,148,126
158,3,-2,195,195,3,40,127
3,56,-2,747,747,210,3,128
3,58,-2,254,255,162,148,129
3,58,-2,219,221,162,3,130
3,130,-2,26,29,10,148,131
164,148,-2,226,226,210,3,132
158,3,-2,709,711,162,3,133
158,3,-2,195,198,3,40,134
3,56,-2,33,33,3,42,135
3,58,-2,465,465,210,3,136
208,3,-2,491,494,162,3,137
158,3,-2,659,659,210,3,138
158,3,-2,1083,1083,162,3,139
3,56,-2,1117,1120,162,3,140
158,3,-2,193,196,3,40,141
160,3,-2,1025,1027,210,3,142
160,3,-2,675,675,210,3,143
208,3,-2,613,619,162,3,144
12,148,-2,43,43,10,148,145
158,3,-2,367,369,162,3,146
3,130,-2,26,30,10,148,147
208,3,-2,873,875,162,3,148
208,3,-2,515,515,3,128,149
3,56,-2,213,216,162,3,150
160,3,-2,465,465,210,3,151
3,130,-2,26,28,10,148,152
208,3,-2,461,465,3,42,153
164,148,-2,226,226,210,3,154
3,130,-2,26,28,10,148,155
160,3,-2,195,195,3,40,156
160,3,-2,312,312,10,148,157
208,3,-2,461,467,3,42,158
3,58,-2,219,223,162,3,159
158,3,-2,312,312,10,148,160
160,3,-2,369,370,162,3,161
3,130,-2,26,26,10,148,162
12,148,-2,30,30,3,128,163
208,3,-2,937,942,210,3,164
3,56,-2,213,215,162,3,165
160,3,-2,482,487,10,148,166
3,130,-2,178,178,162,148,167
3,130,-2,26,26,10,148,168
158,3,-2,339,341,3,40,169
3,130,-2,123,123,3,42,170
208,3,-2,637,639,162,3,171
208,3,-2,384,388,10,148,172
158,3,-2,195,204,3,40,173
160,3,-2,745,747,210,3,174
158,3,-2,193,194,3,40,175
208,3,-2,473,473,3,42,176
3,58,-2,651,653,210,3,177
3,56,-2,213,213,162,3,178
158,3,-2,193,195,3,40,179
208,3,-2,513,514,210,3,180
160,3,-2,312,312,10,148,181
208,3,-2,793,793,210,3,182
3,130,-2,26,26,10,148,183
158,3,-2,299,302,3,128,184
160,3,-2,511,514,162,3,185
158,3,-2,193,201,3,40,186
158,3,-2,471,472,210,3,187
12,148,-2,43,43,10,148,188
208,3,-2,315,316,3,42,189
208,3,-2,461,461,3,42,190
3,56,-2,467,468,210,3,191
160,3,-2,709,711,162,3,192
158,3,-2,513,518,162,3,193
158,3,-2,299,299,3,128,194
164,148,-2,226,229,210,3,195
3,58,-2,531,531,3,42,196
3,130,-2,303,304,162,3,197
160,3,-2,312,314,10,148,198
208,3,-2,513,515,210,3,199
3,56,-2,447,450,162,3,200
