6,58,0.50834,378
6,128,0.57909,132
6,130,0.38838,314
20,9,0.2057,222
20,12,0.2057,212
20,14,0.42946,226
20,17,0.50834,231
60,14,0.42946,457
60,40,0.56387,297
60,42,0.50834,249
60,56,0.27143,62
60,58,0.50834,378
60,77,0.2057,231
60,128,0.42946,304
60,130,0.20445,163
90,77,0.2057,231
130,12,0.58245,529
130,14,0.52845,342
130,40,0.50834,338
130,56,0.29807,349
130,58,0.50834,550
130,75,0.22505,289
130,77,0.51821,223
130,128,0.56644,330
130,130,0.2057,156
130,138,0.50834,578
130,140,0.2057,404
180,77,0.38722,634
180,75,0.56644,426
158,6,0.29807,486
160,6,0.58245,294
162,6,0.52845,476
160,20,0.2057,369
107,33,0.58245,317
105,33,0.29807,381
14,33,0.50834,231
12,33,0.42946,226
10,33,0.2057,434
10,50,0.2057,340
12,50,0.42946,347
105,50,0.29807,249
107,50,0.50834,490
109,50,0.50834,249
162,50,0.50834,707
162,70,0.4781,193
105,70,0.50834,320
103,70,0.44703,223
12,70,0.42946,233
10,70,0.2057,340
10,90,0.31659,228
12,90,0.42946,352
103,90,0.2057,454
105,90,0.50834,630
107,90,0.56644,311
182,90,0.56644,330
184,90,0.51821,857
10,134,0.45809,418
12,134,0.20445,219
105,134,0.50834,578
164,134,0.2057,1013
164,145,0.46371,207
162,145,0.29301,176
6,40,0.31869,265
6,42,0.44942,265
6,56,0.27143,176
164,80,0.51821,223
109,70,0.22505,513
103,145,0.51709,136
103,135,0.2057,540
