6,58,0.38405,382
6,128,0.49501,276
6,130,0.63335,186
20,9,0.89995,89
20,12,0.90659,93
20,14,0.13452,178
20,17,0.38405,164
60,14,0.13452,342
60,40,0.076292,186
60,42,0.38405,227
60,56,0.82265,51
60,58,0.38405,382
60,77,0.49501,302
60,128,0.49501,279
60,130,0.63335,171
90,75,0.13452,200
90,77,0.49501,102
130,10,0.15374,280
130,12,0.49907,365
130,14,0.5889,269
130,40,0.38171,135
130,42,0.38405,273
130,56,0.49907,350
130,58,0.38405,306
130,75,0.36404,128
130,77,0.49501,136
130,128,0.49501,309
130,130,0.63335,158
130,138,0.021878,72
130,140,0.78731,83
180,77,0.40809,237
180,75,0.86488,170
180,58,0.63162,173
180,56,0.81355,193
180,40,0.38171,135
158,6,0.15374,280
160,6,0.49907,217
162,6,0.5889,426
208,6,0.38171,244
210,6,0.54648,542
160,20,0.31566,305
162,33,0.37425,118
160,33,0.31566,187
107,33,0.49907,272
105,33,0.13452,264
14,33,0.38405,164
12,33,0.13452,178
10,33,0.89995,182
10,50,0.89995,138
12,50,0.13452,275
105,50,0.13452,190
107,50,0.49907,239
109,50,0.38171,102
160,50,0.31566,315
162,50,0.38405,263
205,50,0.81355,366
208,50,0.86488,170
210,50,0.40809,237
210,70,0.40809,237
208,70,0.86488,170
164,70,0.37496,115
162,70,0.37425,173
105,70,0.63143,127
103,70,0.13452,181
12,70,0.13452,236
10,70,0.89995,138
162,60,0.37425,288
10,90,0.61258,377
12,90,0.13452,173
103,90,0.78731,93
105,90,0.46647,78
107,90,0.021878,99
182,90,0.49501,309
184,90,0.37496,310
105,120,0.78731,171
10,134,0.61258,363
12,134,0.13452,147
105,134,0.78731,181
107,134,0.021878,72
164,134,0.37496,152
164,145,0.37496,152
162,145,0.021878,155
105,145,0.22792,98
6,40,0.076292,203
6,42,0.41682,239
6,56,0.82265,90
