6,58,84657
6,128,32798
6,130,76184
20,9,54533
20,12,51190
20,14,55563
20,17,60385
60,14,1.1596e+05
60,40,78570
60,42,62624
60,56,16369
60,58,84664
60,77,51974
60,128,74459
60,130,38907
90,77,51974
130,12,1.3132e+05
130,14,85843
130,40,84122
130,56,88760
130,58,1.3049e+05
130,75,71129
130,77,68416
130,128,84055
130,130,33197
130,138,1.523e+05
130,140,96807
180,77,1.4823e+05
180,75,1.0726e+05
158,6,1.2389e+05
160,6,76642
162,6,1.1802e+05
160,20,87024
107,33,80136
105,33,99658
14,33,60385
12,33,55563
10,33,1.0572e+05
10,50,85314
12,50,90347
105,50,62891
107,50,1.2284e+05
109,50,62624
162,50,1.7136e+05
162,70,47899
105,70,80989
103,70,52413
12,70,64948
10,70,85314
10,90,60619
12,90,92213
103,90,1.0439e+05
105,90,1.6631e+05
107,90,74235
182,90,84036
184,90,2.1664e+05
10,134,1.0742e+05
12,134,60079
105,134,1.5229e+05
164,134,2.4984e+05
164,145,51745
162,145,51015
6,40,68212
6,42,67785
6,56,41768
164,80,68413
109,70,1.2848e+05
103,145,29254
103,135,1.2606e+05
