160,3,-2,194,194,3,40,1
158,3,-2,193,197,3,40,2
3,56,-2,33,36,3,42,3
208,3,-2,307,307,210,3,4
12,148,-2,800,852,162,3,5
158,3,-2,195,200,3,40,6
3,58,-2,506,518,10,148,7
3,58,-2,417,428,162,3,8
208,3,-2,995,1024,162,3,9
208,3,-2,243,252,3,40,10
12,148,-2,456,461,3,42,11
164,148,-2,240,241,210,3,12
12,148,-2,132,133,3,42,13
3,58,-2,265,269,210,3,14
3,130,-2,333,335,162,3,15
3,58,-2,256,258,162,148,16
208,3,-2,243,252,3,40,17
160,3,-2,419,431,162,3,18
12,148,-2,963,978,10,148,19
3,130,-2,481,508,210,3,20
208,3,-2,362,369,10,148,21
208,3,-2,243,253,3,40,22
3,130,-2,423,434,3,42,23
208,3,-2,417,418,162,3,24
160,3,-2,331,343,3,42,25
3,58,-2,457,463,210,3,26
3,58,-2,265,271,210,3,27
160,3,-2,544,562,10,148,28
158,3,-2,195,195,3,40,29
160,3,-2,409,414,162,3,30
3,128,-2,490,496,10,148,31
12,148,-2,392,394,210,3,32
3,58,-2,491,506,210,3,33
3,128,-2,123,125,105,148,34
160,3,-2,258,263,162,148,35
3,130,-2,1611,1763,210,3,36
160,3,-2,195,195,3,40,37
3,56,-2,33,35,3,42,38
164,148,-2,232,235,210,3,39
3,58,-2,215,215,162,3,40
3,58,-2,491,506,210,3,41
3,58,-2,114,114,10,148,42
208,3,-2,243,244,3,40,43
3,130,-2,487,521,3,42,44
164,148,-2,232,235,210,3,45
12,148,-2,348,348,162,3,46
3,56,-2,33,34,3,42,47
164,148,-2,232,235,210,3,48
158,3,-2,195,196,3,40,49
3,58,-2,335,336,3,42,50
3,130,-2,375,384,210,3,51
160,3,-2,585,611,162,3,52
164,148,-2,232,233,210,3,53
3,58,-2,507,518,162,3,54
3,58,-2,265,270,210,3,55
208,3,-2,635,646,162,3,56
3,58,-2,331,339,3,42,57
158,3,-2,577,619,162,3,58
158,3,-2,333,338,3,42,59
160,3,-2,665,742,210,3,60
3,58,-2,114,114,10,148,61
160,3,-2,413,416,162,3,62
3,58,-2,881,1016,210,3,63
3,58,-2,114,118,10,148,64
158,3,-2,193,194,3,40,65
158,3,-2,193,195,3,40,66
3,130,-2,419,436,3,42,67
158,3,-2,265,277,210,3,68
12,148,-2,342,343,162,3,69
3,56,-2,453,460,210,3,70
208,3,-2,243,244,3,40,71
164,148,-2,240,240,210,3,72
3,58,-2,335,336,3,42,73
3,130,-2,375,377,210,3,74
208,3,-2,243,244,3,40,75
208,3,-2,243,247,210,3,76
3,58,-2,1045,1132,210,3,77
3,130,-2,303,305,162,3,78
158,3,-2,312,315,10,148,79
160,3,-2,331,339,3,42,80
3,58,-2,215,218,162,3,81
3,58,-2,199,200,105,148,82
3,56,-2,33,33,3,42,83
208,3,-2,243,250,210,3,84
3,58,-2,114,114,10,148,85
160,3,-2,201,209,105,148,86
208,3,-2,362,362,10,148,87
160,3,-2,395,409,105,148,88
3,130,-2,123,126,3,42,89
160,3,-2,453,463,210,3,90
160,3,-2,314,320,10,148,91
12,148,-2,456,477,3,42,92
208,3,-2,497,519,210,3,93
3,130,-2,537,559,162,3,94
164,148,-2,232,233,210,3,95
3,56,-2,527,549,3,42,96
158,3,-2,1494,1572,10,148,97
3,130,-2,123,129,3,42,98
3,130,-2,375,383,210,3,99
160,3,-2,215,218,162,3,100
3,56,-2,991,1112,3,42,101
158,3,-2,265,282,210,3,102
3,130,-2,121,125,105,148,103
3,130,-2,123,126,3,42,104
3,128,-2,377,389,210,3,105
3,56,-2,213,213,162,3,106
158,3,-2,391,402,3,40,107
3,130,-2,627,663,162,3,108
12,148,-2,384,389,210,3,109
160,3,-2,215,221,162,3,110
158,3,-2,195,196,3,40,111
208,3,-2,743,755,162,3,112
3,130,-2,436,457,162,148,113
3,58,-2,265,270,210,3,114
3,130,-2,363,376,3,40,115
164,148,-2,232,232,210,3,116
158,3,-2,312,312,10,148,117
3,130,-2,377,387,210,3,118
160,3,-2,389,392,3,40,119
160,3,-2,455,473,210,3,120
3,58,-2,221,222,162,3,121
3,58,-2,657,693,210,3,122
3,58,-2,507,520,162,3,123
208,3,-2,375,382,3,42,124
3,58,-2,573,581,210,3,125
3,130,-2,375,377,210,3,126
164,148,-2,196,208,162,3,127
160,3,-2,195,197,3,40,128
160,3,-2,263,266,210,3,129
3,58,-2,306,309,10,148,130
3,58,-2,331,336,3,42,131
164,148,-2,232,233,210,3,132
164,148,-2,232,233,210,3,133
158,3,-2,195,196,3,40,134
208,3,-2,417,424,162,3,135
158,3,-2,265,274,210,3,136
160,3,-2,699,765,162,3,137
164,148,-2,538,559,105,148,138
3,56,-2,33,33,3,42,139
158,3,-2,195,195,3,40,140
158,3,-2,367,373,162,3,141
3,58,-2,508,530,10,148,142
164,148,-2,232,232,210,3,143
12,148,-2,362,365,210,3,144
3,58,-2,215,222,162,3,145
3,128,-2,377,384,210,3,146
3,56,-2,33,36,3,42,147
208,3,-2,501,509,210,3,148
160,3,-2,195,200,3,40,149
3,130,-2,436,450,162,148,150
208,3,-2,497,503,162,3,151
3,56,-2,33,35,3,42,152
3,58,-2,411,420,162,3,153
12,148,-2,554,584,210,3,154
3,58,-2,221,224,162,3,155
3,58,-2,266,270,162,148,156
158,3,-2,661,667,210,3,157
3,130,-2,492,516,10,148,158
3,130,-2,121,121,105,148,159
3,58,-2,389,397,3,40,160
3,58,-2,461,471,210,3,161
158,3,-2,312,314,10,148,162
158,3,-2,312,316,10,148,163
3,58,-2,862,967,162,148,164
164,148,-2,232,233,210,3,165
160,3,-2,702,771,10,148,166
3,56,-2,33,35,3,42,167
