6,58,1.2499e+05
6,128,30372
6,130,1.0205e+05
20,9,33635
20,12,33472
20,14,50358
20,17,53535
60,14,1.0389e+05
60,40,77928
60,42,71101
60,56,29025
60,58,1.7387e+05
60,77,1.4584e+05
60,128,48601
60,130,91417
90,75,1.0462e+05
90,77,41219
130,10,92886
130,12,1.792e+05
130,14,77159
130,40,37875
130,42,80387
130,56,95248
130,58,1.2864e+05
130,75,69821
130,77,56846
130,128,76056
130,130,1.3252e+05
130,138,30860
130,140,27140
180,77,88081
180,75,92287
180,58,92314
180,56,48993
180,40,37875
158,6,92886
160,6,1.0696e+05
162,6,1.5619e+05
208,6,1.0224e+05
210,6,2.0138e+05
160,20,1.5128e+05
162,33,61422
160,33,89848
107,33,1.4573e+05
105,33,85978
14,33,53535
12,33,50358
10,33,67107
10,50,32059
12,50,94408
105,50,55149
107,50,1.2626e+05
109,50,19536
160,50,1.2085e+05
162,50,1.1082e+05
205,50,1.4132e+05
208,50,92286
210,50,88081
210,70,88081
208,70,92286
164,70,58259
162,70,90814
105,70,87977
103,70,91962
12,70,1.2633e+05
10,70,52797
162,60,1.4897e+05
10,90,1.6067e+05
12,90,88362
103,90,50997
105,90,55505
107,90,54263
182,90,1.4766e+05
184,90,1.2378e+05
105,120,1.065e+05
10,134,1.2563e+05
12,134,60920
105,134,61344
107,134,30860
164,134,62850
164,145,62850
162,145,58000
105,145,34204
6,40,87456
6,42,87139
6,56,66712
